text,topic,sentiment
A revealing survey of corporate mobility teams shows that the post-pandemic legacy of remote work may not be that great after all. https://t.co/tiJZKbHw8i,s,n
What #Fauci has done by financing the creation of the Covid-19 virus and by walking Big Pharma’s “vaccine” through the emergency use process is to create a Frankenstein virus capable of escaping immune responses.,m,n
Natural Immunity Works Better Than COVID Vaccines: New England Journal of Medicine https://t.co/coWCSohHq6,v,n
Update: First cases of Omicron COVID-19 variant detected in Canada: What we know https://t.co/Gb7skmn1aL https://t.co/LkLPKAFu7S,cs,n
Cuddling w my baby girl… got her Covid tested and awaiting results. 🥺,ac,/
How to go viral? Just be a COVID-19 mutation #Omicron: Everyone will talk about you. Make fun of you. Will gossip about you. Will create bullshit around you. Will die for or with you and get invested with you. A few days after your birth you will be world famous! think about it! https://t.co/LsSFgu2Wcc,ac,n
Has anyone in Austin gotten a Moderna booster? (Preferably South),v,/
Covid in Scotland: Where are the latest cases? https://t.co/l0RQm970Bb,cs,/
"PBS: for every 4 COVID deaths in the US, one child has lost a parent or caregiver.",cs,n
"13 members of Lisbon-based Belenenses SAD soccer club test positive for the #OmicronVariant of Covid-19
https://t.co/Wk4elzyxnB #UAE #Dubai #DXB",cs,n
Why have they got to call that new covid variant something as scary as OMICRON why can't it be called Steve? We all know a Steve that's a tolerable bloke or a skinhead Steve that's a member of the EDL which I think is more representative of this variant,ac,/
"Federal Reserve Chair Jerome Powell says Omicron variant could slow down the US economy
https://t.co/lf4WV24JVB #UAE #Dubai #DXB",m,n
"Is there currently calls for NUIG students to do a strike against in person exams? I currently have covid and would never wish this kind of isolation and just ill feeling on my worst enemy, let alone other students I do college with.",m,n
Jim Cramer’s investment playbook for the Covid omicron variant - https://t.co/V8U1gjxCg9,s,/
11m humans die from junk food; 8m die from smoking; 9m die from pollution; 3m from alcohol &amp; DR. FRANKENSTEINS KILL OVER 2.6m HUMANS BY MISDIAGNOSIS &amp; MISPRESCRIPTION that send 500m humans into hospitals while COVID tests are 90% false positives yet media jerks crap about omicron https://t.co/aRAwbSfgHM,m,n
"“The Republican (the Governor quoted in this article) said he already has a QR code on his phone with his vaccination status.”

NOPE. NOT GONNA HAPPEN! https://t.co/lgqR4Ca5Y3",v,n
"Beltway Insider: Biden, Putin/China, COVID/Vaccine Totals, Strickland/Arbery, Steven Sondheim https://t.co/5l3jpnbSv7",m,/
COVID CONCERNS https://t.co/6z9tsyeZkZ,ac,/
"Dear Leftists,

Many of you will snort this NYT story about a vaccine into your brain like it's a fat rail at the Antifa clubhouse.

Coronavirus is not Smallpox.

Not even close.

P.S.: The Smallpox vaccine eradicated the virus. The shot you worship now is not capable of this. https://t.co/s7jYFNOjfx",v,n
😂😂😂 Please save us from freedom and the lowest Covid rate in the nation. https://t.co/hmBzHGAMqt,ac,p
Nicola Sturgeon tells Scots to work from home as covid restrictions 'under close review' - Glasgow Live https://t.co/ALv3B5fQYf,m,/
Lou! - Kick Covid Country Radio,ac,p
"And to this day, Covid-19 itself has never been isolated in the lab. The con job continues. https://t.co/8CsTbics7p",ac,n
BONOKOSKI: Fears of trucker vaccination cockup in supply-line management https://t.co/WbjPdz7QWq,v,n
"My condolences 💐 to the families, loved ones 🥰 , friends and communities of these 41 people who we lost 😞 to COVID-19.  Their absence will be deeply felt. https://t.co/RxvTwSmAQ0 https://t.co/8rBxNYCkwP",ac,n
I thought fluoride in the water was bad. Just wait til they put vaccine particles in tap water.,v,n
